,movie_name,code,actor1_code,actor2_code,release,actor_power
0,택시운전사,20162869,10037018,10080533,2017-08-02,9530159.25
1,신과함께-죄와 벌,20150976,10087253,10071209,2017-12-20,6788585.5
2,공조,20151228,10088975,10054128,2017-01-18,4962138.0
3,스파이더맨: 홈 커밍,20167303,20272630,10016538,2017-07-05,6768579.6
4,범죄도시,20172742,10021341,10054204,2017-10-03,2826153.090909091
5,군함도,20161481,10090290,10036685,2017-07-26,8474499.125
6,청년경찰,20162442,20211007,20111688,2017-08-09,2522068.4
7,더 킹,20151229,10066899,10062025,2017-01-18,2948563.3333333335
8,미녀와 야수,20164721,10049635,10010368,2017-03-16,2237115.8333333335
9,킹스맨: 골든 서클,20175222,10076631,10069498,2017-09-27,1179201.25
10,토르: 라그나로크,20175121,10077282,20172889,2017-10-25,2158962.1818181816
11,꾼,20165748,10088975,10054008,2017-11-22,3332567.4
12,강철비,20170402,10062025,20127192,2017-12-14,2901583.222222222
13,남한산성,20165450,10055626,10005276,2017-10-03,2877449.0714285714
14,미이라,20166488,10081054,20120582,2017-06-06,2545823.0
15,분노의 질주: 더 익스트림,20167542,10033301,10013266,2017-04-12,1802730.9090909092
16,너의 이름은.,20161872,20115319,20264269,2017-01-04,1470470.8
17,슈퍼배드 3,20173403,10039193,10077417,2017-07-26,1406767.4444444445
18,아이 캔 스피크,20174142,10006877,10057349,2017-09-21,2587581.5
19,캐리비안의 해적: 죽은 자는 말이 없다,20170982,10065531,10073877,2017-05-24,1399399.6666666667
20,프리즌,20162181,10087518,10004028,2017-03-23,2211531.0
21,덩케르크,20164621,10081106,10024073,2017-07-20,1348390.3333333333
22,가디언즈 오브 갤럭시 VOL. 2,20163603,10077262,10065071,2017-05-03,1820937.111111111
23,살인자의 기억법,20154909,10035772,10003788,2017-09-06,1176145.5454545454
24,트랜스포머: 최후의 기사,20166967,20112216,10043531,2017-06-21,1227339.888888889
25,보안관,20162722,20110148,10067353,2017-05-03,2985835.0
26,조작된 도시,20150964,20187851,10040874,2017-02-09,1064059.8333333333
27,보스 베이비,20174061,10044466,10019661,2017-05-03,1857183.6666666667
28,재심,20166421,10062023,20111688,2017-02-15,2204430.5
29,박열,20178982,10057349,10072221,2017-06-28,2049671.3333333333
30,모아나,20165443,10013266,20256929,2017-01-12,1612854.1666666667
31,마스터,20161725,10055626,10000558,2016-12-21,3866053.5384615385
32,로건,20161827,10090817,10082650,2017-03-01,1104062.111111111
33,원더 우먼,20168261,10000433,10017363,2017-05-31,1116171.3333333333
34,겟 아웃,20175262,10074165,10046277,2017-05-17,2138146.0
35,혹성탈출: 종의 전쟁,20179901,10046099,10052042,2017-08-15,1002762.1111111111
36,1987,20170590,10005276,10087253,2017-12-27,5748258.833333333
37,애나벨 : 인형의 주인,20161081,10090845,10046300,2017-08-10,1262934.75
38,노무현입니다,20174602,10008060,0,2017-05-25,1024222.5
39,저스티스 리그,20168221,10031156,10000433,2017-11-15,1539000.875
40,킬러의 보디가드,20171962,10014018,10034095,2017-08-30,1670765.0
41,콩: 스컬 아일랜드,20168183,20172889,10032597,2017-03-08,443358.25
42,23 아이덴티티,20170241,10064095,20270149,2017-02-22,1524417.7142857143
43,임금님의 사건수첩,20161726,10055970,10043631,2017-04-26,1530920.142857143
44,부라더,20172603,10021341,20186095,2017-11-02,3338501.1818181816
45,기억의 밤,20173581,20111688,10004099,2017-11-29,2270643.090909091
46,해피 데스데이,20174622,10063369,20176462,2017-11-08,1382650.0
47,브이아이피,20164174,10060114,10004060,2017-08-23,2262300.0
48,특별시민,20162871,10072251,20127192,2017-04-26,3955614.5555555555
49,에이리언: 커버넌트,20179382,20112618,10086536,2017-05-09,1267393.5
50,신과함께-인과 연,20186202,10087253,10069179,2018-08-01,9325689.125
51,어벤져스: 인피니티 워,20177478,10016538,10066274,2018-04-25,4866097.875
52,보헤미안 랩소디,20185485,10024922,10066058,2018-10-31,9948386.0
53,미션 임파서블: 폴아웃,20181181,10081054,20175409,2018-07-25,2668559.6666666665
54,쥬라기 월드: 폴른 킹덤,20179086,10077262,10031727,2018-06-06,3808848.4
55,앤트맨과 와스프,20180522,10083514,20179797,2018-07-04,5558186.0
56,안시성,20176122,10066899,20279929,2018-09-19,5398899.0
57,블랙 팬서,20170561,10025691,0,2018-02-14,5398994.0
58,완벽한 타인,20177538,10054128,10067353,2018-10-31,3762008.6428571427
59,독전,20179383,10067353,20208626,2018-05-22,3243976.0
60,공작,20179101,10090290,20110148,2018-08-08,4382850.7272727275
61,베놈,20177221,10081106,10027310,2018-10-03,1324857.8181818181
62,암수살인,20179189,10005276,10069179,2018-10-03,5952483.5
63,데드풀 2,20176848,10014018,10066274,2018-05-16,1938212.0
64,국가부도의 날,20177552,10006380,10053802,2018-11-28,1872187.8333333333
65,코코,20179985,10000222,10027582,2018-01-11,1410030.6
66,아쿠아맨,20180290,20127372,10049704,2018-12-19,1200957.0
67,그것만이 내 세상,20176104,10055626,10054391,2018-01-17,2417985.5
68,마녀,20185341,20302909,10065830,2018-06-27,1629792.0
69,탐정: 리턴즈,20178161,10002387,10035832,2018-06-13,1974299.4
70,인크레더블 2,20183361,10076983,10034095,2018-07-18,2260906.090909091
71,서치,20185046,10068265,10011108,2018-08-29,1413085.6
72,너의 결혼식,20153446,10028667,20128311,2018-08-22,1599222.0
73,곤지암,20180804,20301569,20256609,2018-03-28,2675559.0
74,지금 만나러 갑니다,20170669,10036685,10036883,2018-03-14,2523074.0
75,목격자,20170670,20110148,10004448,2018-08-15,2005443.3333333333
76,조선명탐정: 흡혈괴마의 비밀,20179205,10004060,10050151,2018-02-08,3216899.5
77,신비한 동물들과 그린델왈드의 범죄,20176814,10047810,10086536,2018-11-14,2246532.0
78,메이즈 러너: 데스 큐어,20175054,10019472,10080483,2018-01-17,1732309.1666666667
79,맘마미아!2,20181942,10041879,10060784,2018-08-08,718739.0
80,레디 플레이어 원,20171122,10024073,10034407,2018-03-28,1530735.3333333333
81,명당,20172204,10066380,10069957,2018-09-19,3332742.0
82,협상,20177308,10088975,10036883,2018-09-19,2693147.0
83,마약왕,20168773,10037018,20121022,2018-12-19,4599943.666666667
84,쥬만지: 새로운 세계,20171909,10013266,10060900,2018-01-03,2329998.875
85,창궐,20174981,10088975,10060114,2018-10-25,2700487.285714286
86,성난황소,20184481,10021341,20066637,2018-11-22,4247265.615384615
87,도어락,20179230,10001919,20111894,2018-12-05,1142587.0
88,리틀 포레스트,20170841,20201026,20208626,2018-02-28,3297418.1
89,골든슬럼버,20168250,10000558,10005383,2018-02-14,3862894.375
90,램페이지,20176917,10013266,10064771,2018-04-12,1354857.7777777778
91,궁합,20150969,10040874,10056227,2018-02-28,989154.2222222222
92,오션스8,20184903,10034676,10075724,2018-06-13,1058949.5
93,사라진 밤,20178781,10004396,10003507,2018-03-07,963294.6
94,스윙키즈,20175547,20209526,20233686,2018-12-19,1302558.0
95,바람 바람 바람,20153447,20110148,10040665,2018-04-05,930513.7777777778
96,PMC: 더 벙커,20170658,10087253,10055970,2018-12-26,5615757.888888889
97,범블비,20186281,10078657,10081982,2018-12-25,786369.6
98,극한직업,20182530,10019065,20125825,2019-01-23,4539711.875
99,어벤져스: 엔드게임,20184889,10016538,10077150,2019-04-24,9367612.125
100,겨울왕국 2,20197803,10077984,10055204,2019-11-21,9751491.666666666
101,알라딘,20183867,10044943,10052967,2019-05-23,6752496.25
102,기생충,20183782,10037018,10055970,2019-05-30,5109347.0
103,엑시트,20184621,20121022,20224649,2019-07-31,5557060.0
104,스파이더맨: 파 프롬 홈,20196309,20272630,10034095,2019-07-02,3854988.4375
105,백두산,20192206,10055626,10087253,2019-12-19,6686322.1
106,캡틴 마블,20181877,10032597,10034095,2019-03-06,2364987.2666666666
107,조커,20199950,10051376,10043652,2019-10-02,2051487.5714285714
108,봉오동 전투,20184462,10054128,20208626,2019-08-07,4403158.75
109,라이온 킹,20175771,10063250,10033021,2019-07-17,4743184.0
110,나쁜 녀석들: 더 무비,20188750,10021341,10004437,2019-09-11,3943693.6153846155
111,82년생 김지영,20191029,10062071,10001901,2019-10-23,2487030.6666666665
112,분노의 질주: 홉스&쇼,20196850,10013266,10063676,2019-08-14,2211044.5
113,토이 스토리 4,20184047,10081113,10081814,2019-06-20,1387533.6666666667
114,돈,20176103,20208626,10054008,2019-03-20,3128711.153846154
115,악인전,20188941,10021341,10004099,2019-05-15,3666577.3529411764
116,가장 보통의 연애,20195920,10004028,10001919,2019-10-02,1676823.5555555555
117,말모이,20184105,10054128,10054204,2019-01-09,4535884.333333333
118,증인,20185881,10062025,10006228,2019-02-13,4155466.5454545454
119,시동,20198414,10021341,20110693,2019-12-18,3433874.9444444445
120,블랙머니,20195002,10067353,20125825,2019-11-13,3402995.6923076925
121,터미네이터: 다크 페이트,20192083,10025100,10041170,2019-10-30,971695.8
122,사바하,20177539,10057315,20110693,2019-02-20,1858135.5555555555
123,타짜: 원 아이드 잭,20184572,20110693,10019067,2019-09-11,1546814.7142857143
124,신의 한 수: 귀수편,20181434,10002387,10006545,2019-11-07,1301916.5
125,알리타: 배틀 엔젤,20188282,10077744,10082878,2019-02-05,1035368.875
126,내안의 그놈,20176251,10028773,20194921,2019-01-09,1452333.0
127,뺑반,20180868,10001919,20208626,2019-01-30,2634373.0833333335
128,변신,20184543,20136191,10035832,2019-08-21,2371400.5
129,주먹왕 랄프 2: 인터넷 속으로,20189463,10068649,10033911,2019-01-03,887440.0
130,걸캅스,20184082,10013826,20225666,2019-05-09,1323232.25
131,사자,20180442,20211007,10043371,2019-07-31,2220003.25
132,드래곤 길들이기 3,20186261,10063418,10041935,2019-01-30,1506942.0
133,나의 특별한 형제,20185784,10040665,20111692,2019-05-01,962215.8333333334
134,어스,20185352,10059402,20271475,2019-03-27,1611792.5
135,말레피센트 2,20191589,10043730,10049256,2019-10-17,321805.3
136,유열의 음악앨범,20181416,20125838,20219146,2019-08-28,752803.25
137,퍼펙트맨,20184483,10035772,10067353,2019-10-02,1741111.4375
138,포드 V 페라리,20192401,10025511,10077325,2019-12-04,509427.85714285716
139,생일,20183096,10035772,10061252,2019-04-03,898955.1428571428
140,"힘을 내요, 미스터 리",20187322,10071140,20307189,2019-09-11,1891328.75
141,항거:유관순 이야기,20196601,10001670,20126450,2019-02-27,294343.0
142,장사리 : 잊혀진 영웅들,20193601,10004060,20209286,2019-09-25,1499331.111111111
143,마이펫의 이중생활 2,20183844,10082756,10075582,2019-07-31,1301238.6
144,롱 리브 더 킹: 목포 영웅,20198453,10004028,20270289,2019-06-19,1361083.25
145,쥬만지: 넥스트 레벨,20198681,10013266,10060900,2019-12-11,1483482.5833333333
146,존 윅 3: 파라벨룸,20196655,10078687,10087875,2019-06-26,969446.0
147,남산의 부장들,20180939,10055626,20110148,2020-01-22,2917515.4615384615
148,다만 악에서 구하소서,20197922,10090290,10057315,2020-08-05,4022159.25
149,반도,20193450,10000558,10057329,2020-07-15,2779621.1666666665
150,히트맨,20192101,10002387,10062240,2020-01-22,2059758.6
151,테넷,20201122,10067623,20111975,2020-08-26,810257.2
152,#살아있다,20193069,10053802,10028892,2020-06-24,1716927.8
153,강철비2: 정상회담,20196271,10062025,20111976,2020-07-29,1804828.5714285714
154,담보,20199816,10035832,10087280,2020-09-29,1310044.857142857
155,닥터 두리틀,20199581,10016538,20272630,2020-01-08,5669986.181818182
156,삼진그룹 영어토익반,20197121,10001670,20110323,2020-10-21,1167710.8
157,정직한 후보,20193321,10013826,10004099,2020-02-12,1370035.2727272727
158,도굴,20192193,10057349,20134255,2020-11-04,2508719.6666666665
159,클로젯,20182447,10087253,10003788,2020-02-05,4503893.181818182
160,오케이 마담,20199883,10047352,10028773,2020-08-12,1422478.0
161,해치지않아,20183002,10043631,20112885,2020-01-15,1138358.8333333333
162,천문: 하늘에 묻는다,20184571,10072251,10087518,2019-12-26,1495565.3333333333
163,결백,20183813,20232987,10030226,2020-06-10,731062.75
164,1917,20192399,10067068,20345735,2020-02-19,438525.0
165,작은 아씨들,20192240,10040143,10049635,2020-02-12,683652.3636363636
166,미드웨이,20196272,10082878,10082678,2019-12-31,1381209.857142857
167,지푸라기라도 잡고 싶은 짐승들,20180962,10061252,10062025,2020-02-19,1553735.2857142857
168,미스터 주: 사라진 VIP,20188421,20110148,10004466,2020-01-22,1911721.8
169,인비저블맨,20199842,10049433,0,2020-02-26,522310.5
170,나쁜 녀석들: 포에버,20196670,10052967,10024676,2020-01-15,2807784.4
171,국제수사,20184482,20127192,20200886,2020-09-29,2242681.5
172,침입자,20197863,20066637,10004099,2020-06-04,1232272.4444444445
173,스타워즈: 라이즈 오브 스카이워커,20195462,10012332,20185628,2020-01-08,365816.0
174,스파이 지니어스,20192300,10052967,20272630,2020-01-22,3288345.0
175,이웃사촌,20181983,10062023,10050151,2020-11-25,930886.0
176,온워드: 단 하루의 기적,20191048,20272630,10077262,2020-06-17,3584812.4615384615
177,소리도 없이,20194424,10053802,20152117,2020-10-15,905402.0
178,버즈 오브 프레이(할리 퀸의 황홀한 해방),20198431,10057917,10025732,2020-02-05,248345.5
179,원더 우먼 1984,20192567,10000433,10077251,2020-12-23,546897.0
180,오! 문희,20193666,10006877,10058320,2020-09-02,2336608.875
181,그린랜드,20204008,10062791,10026215,2020-09-29,638380.7777777778
182,위대한 쇼맨,20179462,10090817,10060933,2017-12-20,675389.6666666666
183,런,20200294,10033980,20176443,2020-11-20,478259.8
184,뮬란,20193822,10053827,10056618,2020-09-17,157863.33333333334
185,내가 죽던 날,20190582,10006380,20189363,2020-11-12,2423299.0
186,신비아파트 극장판 하늘도깨비 대 요르문간드,20198374,20238067,20283550,2019-12-19,577864.1666666666
187,프리즌 이스케이프,20207893,10009288,10056554,2020-05-06,82322.16666666667
188,검객,20178401,10060612,20129449,2020-09-23,190237.0
189,조제,20201002,10087751,20279929,2020-12-10,1335326.6
190,사라진 시간,20193859,10067353,10030161,2020-06-18,1872178.0
191,밤쉘: 세상을 바꾼 폭탄선언,20204644,10035154,10008581,2020-07-08,523750.25
